event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
116,2026-05-14T06:11:42.898,IK_SOLVE,WARN,,pick(cube1) grasp,,,,,,"[0.02, -0.56, 0.9294]",,,,,"{""pos_err"": 0.01021, ""ori_err"": 0.00399, ""iterations"": 600}"
117,2026-05-14T06:11:43.089,IK_ELBOW_UP,FAILED,,pick(cube1) grasp,,,,,,,,,,,"{""pos_err"": 0.03442, ""ori_err"": 0.00784, ""iterations"": 600}"
118,2026-05-14T06:11:43.089,OMPL_PLAN,START,,pick(cube1) grasp,,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.7455, 0.4798, -0.201, -1.7101, 0.1061, 2.1792, -1.124], ""goal_q"": [-0.8598, 0.8506, -0.0754, -1.593, 0.0854, 2.444, -1.0893]}"
119,2026-05-14T06:11:43.550,OMPL_PLAN,OK,,pick(cube1) grasp,,BITstar,35,459,,,,,,,"{""path_length"": 0.5018, ""selected_goal_q"": [-0.8598233615946838, 0.8506266850340637, -0.0753892240842512, -1.592995485309113, 0.08544401761377249, 2.443983125319533, -1.0892502878822594]}"
120,2026-05-14T06:11:43.550,TRAJECTORY_EXEC,START,,,,,35,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
121,2026-05-14T06:11:43.550,TRAJECTORY_WAYPOINT,EXEC,,,,,1/35,,0.0400,,,,,,"{""q"": [-0.7455, 0.4798, -0.201, -1.7101, 0.1061, 2.1792, -1.124]}"
122,2026-05-14T06:11:43.752,TRAJECTORY_WAYPOINT,EXEC,,,,,9/35,,0.0400,,,,,,"{""q"": [-0.7724, 0.567, -0.1715, -1.6826, 0.1013, 2.2415, -1.1159]}"
123,2026-05-14T06:11:43.932,TRAJECTORY_WAYPOINT,EXEC,,,,,17/35,,0.0400,,,,,,"{""q"": [-0.7993, 0.6543, -0.1419, -1.655, 0.0964, 2.3038, -1.1077]}"
124,2026-05-14T06:11:44.097,TRAJECTORY_WAYPOINT,EXEC,,,,,25/35,,0.0400,,,,,,"{""q"": [-0.8262, 0.7416, -0.1123, -1.6274, 0.0915, 2.3661, -1.0995]}"
125,2026-05-14T06:11:44.274,TRAJECTORY_WAYPOINT,EXEC,,,,,33/35,,0.0400,,,,,,"{""q"": [-0.8531, 0.8288, -0.0828, -1.5999, 0.0867, 2.4284, -1.0913]}"
126,2026-05-14T06:11:44.342,TRAJECTORY_WAYPOINT,EXEC,,,,,35/35,,0.0400,,,,,,"{""q"": [-0.8598, 0.8506, -0.0754, -1.593, 0.0854, 2.444, -1.0893]}"
127,2026-05-14T06:11:44.403,TRAJECTORY_EXEC,OK,,,,,35,853,,,,,,,
128,2026-05-14T06:11:44.404,MOVE_POSE,OK,,pick(cube1) grasp,,,,,,,,,,,
129,2026-05-14T06:11:44.404,PICK,GRIP_CLOSE,cube1,close_gripper,,,,,,,,,,,
130,2026-05-14T06:11:44.404,GRIPPER,SET,,,,,,,0.0150,,,,,,"{""steps"": 260}"
131,2026-05-14T06:11:45.106,MOVE_POSE,START,,pick(cube1) lift,,,,,0.0150,"[0.02, -0.56, 1.1294]","[""cube1""]",,,,
132,2026-05-14T06:11:45.291,IK_SOLVE,WARN,,pick(cube1) lift,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.00824, ""ori_err"": 0.0086, ""iterations"": 600}"
133,2026-05-14T06:11:45.462,IK_ELBOW_UP,FAILED,,pick(cube1) lift,,,,,,,,,,,"{""pos_err"": 0.03439, ""ori_err"": 0.01296, ""iterations"": 600}"
134,2026-05-14T06:11:45.463,OMPL_PLAN,START,,pick(cube1) lift,,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.8598, 0.8602, -0.0751, -1.5977, 0.0853, 2.4432, -1.0893], ""goal_q"": [-0.8858, 0.5386, -0.0486, -1.5806, 0.0277, 2.127, -1.0403]}"
135,2026-05-14T06:11:45.896,OMPL_PLAN,OK,,pick(cube1) lift,,BITstar,32,432,,,,,,,"{""path_length"": 0.4591, ""selected_goal_q"": [-0.8858473693103086, 0.5386112541337872, -0.04857481234155814, -1.5805984463143643, 0.027749770933894555, 2.127005417894208, -1.040267463114035]}"
136,2026-05-14T06:11:45.896,TRAJECTORY_EXEC,START,,,,,32,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
137,2026-05-14T06:11:45.897,TRAJECTORY_WAYPOINT,EXEC,,,,,1/32,,0.0150,,,,,,"{""q"": [-0.8598, 0.8602, -0.0751, -1.5977, 0.0853, 2.4432, -1.0893]}"
138,2026-05-14T06:11:46.084,TRAJECTORY_WAYPOINT,EXEC,,,,,9/32,,0.0150,,,,,,"{""q"": [-0.8665, 0.7772, -0.0682, -1.5933, 0.0705, 2.3616, -1.0766]}"
139,2026-05-14T06:11:46.260,TRAJECTORY_WAYPOINT,EXEC,,,,,17/32,,0.0150,,,,,,"{""q"": [-0.8732, 0.6942, -0.0614, -1.5889, 0.0556, 2.28, -1.064]}"
140,2026-05-14T06:11:46.421,TRAJECTORY_WAYPOINT,EXEC,,,,,25/32,,0.0150,,,,,,"{""q"": [-0.88, 0.6112, -0.0546, -1.5845, 0.0407, 2.1984, -1.0513]}"
141,2026-05-14T06:11:46.568,TRAJECTORY_WAYPOINT,EXEC,,,,,32/32,,0.0150,,,,,,"{""q"": [-0.8858, 0.5386, -0.0486, -1.5806, 0.0277, 2.127, -1.0403]}"
142,2026-05-14T06:11:46.629,TRAJECTORY_EXEC,OK,,,,,32,731,,,,,,,
143,2026-05-14T06:11:46.629,MOVE_POSE,OK,,pick(cube1) lift,,,,,,,,,,,
144,2026-05-14T06:11:46.630,PICK,OK,cube1,,,,,,,,,,,,
145,2026-05-14T06:11:46.630,PLACE,START,cube1,,,,,,,"[0.165, -0.125, 0.83]",,,,,
146,2026-05-14T06:11:46.631,MOVE_POSE,START,,"place(0.165, -0.125) preplace",,,,,0.0150,"[0.165, -0.125, 1.13]","[""cube1""]",,,,
147,2026-05-14T06:11:46.784,IK_SOLVE,OK,,"place(0.165, -0.125) preplace",,,,,,"[0.165, -0.125, 1.13]",,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.00416, ""iterations"": 529}"
148,2026-05-14T06:11:46.785,OMPL_PLAN,START,,"place(0.165, -0.125) preplace",,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.8851, 0.5544, -0.0492, -1.5849, 0.0288, 2.1327, -1.0417], ""goal_q"": [-0.4336, 0.2319, 0.217, -2.0468, -0.0594, 2.2719, -0.6078]}"
149,2026-05-14T06:11:47.245,OMPL_PLAN,OK,,"place(0.165, -0.125) preplace",,BITstar,61,459,,,,,,,"{""path_length"": 0.8987, ""selected_goal_q"": [-0.4336006301536168, 0.2318703872268743, 0.21700240128234066, -2.0468302641283946, -0.05941788792265003, 2.2718674132491463, -0.6078196362079935]}"
150,2026-05-14T06:11:47.245,TRAJECTORY_EXEC,START,,,,,61,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
151,2026-05-14T06:11:47.260,TRAJECTORY_WAYPOINT,EXEC,,,,,1/61,,0.0150,,,,,,"{""q"": [-0.8851, 0.5544, -0.0492, -1.5849, 0.0288, 2.1327, -1.0417]}"
152,2026-05-14T06:11:47.572,TRAJECTORY_WAYPOINT,EXEC,,,,,16/61,,0.0150,,,,,,"{""q"": [-0.7722, 0.4738, 0.0173, -1.7004, 0.0067, 2.1675, -0.9332]}"
153,2026-05-14T06:11:47.889,TRAJECTORY_WAYPOINT,EXEC,,,,,31/61,,0.0150,,,,,,"{""q"": [-0.6594, 0.3932, 0.0839, -1.8158, -0.0153, 2.2023, -0.8248]}"
154,2026-05-14T06:11:48.203,TRAJECTORY_WAYPOINT,EXEC,,,,,46/61,,0.0150,,,,,,"{""q"": [-0.5465, 0.3125, 0.1504, -1.9313, -0.0374, 2.2371, -0.7163]}"
155,2026-05-14T06:11:48.523,TRAJECTORY_WAYPOINT,EXEC,,,,,61/61,,0.0150,,,,,,"{""q"": [-0.4336, 0.2319, 0.217, -2.0468, -0.0594, 2.2719, -0.6078]}"
156,2026-05-14T06:11:48.585,TRAJECTORY_EXEC,OK,,,,,61,1324,,,,,,,
157,2026-05-14T06:11:48.585,MOVE_POSE,OK,,"place(0.165, -0.125) preplace",,,,,,,,,,,
158,2026-05-14T06:11:48.585,MOVE_POSE,START,,"place(0.165, -0.125) release",,,,,0.0150,"[0.165, -0.125, 0.99]","[""cube1""]",,,,
159,2026-05-14T06:11:48.676,IK_SOLVE,OK,,"place(0.165, -0.125) release",,,,,,"[0.165, -0.125, 0.99]",,,,,"{""pos_err"": 0.00796, ""ori_err"": 0.01338, ""iterations"": 305}"
160,2026-05-14T06:11:48.677,OMPL_PLAN,START,,"place(0.165, -0.125) release",,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.4381, 0.2434, 0.2157, -2.0464, -0.0588, 2.2696, -0.6144], ""goal_q"": [-0.3656, 0.461, 0.1435, -2.0995, -0.1066, 2.5408, -0.5853]}"
161,2026-05-14T06:11:49.135,OMPL_PLAN,OK,,"place(0.165, -0.125) release",,BITstar,26,458,,,,,,,"{""path_length"": 0.3706, ""selected_goal_q"": [-0.36562354212511555, 0.46099717934385964, 0.14353360958375438, -2.0995277086857937, -0.10659646054263514, 2.540832231731317, -0.5852886579628905]}"
162,2026-05-14T06:11:49.135,TRAJECTORY_EXEC,START,,,,,26,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
163,2026-05-14T06:11:49.136,TRAJECTORY_WAYPOINT,EXEC,,,,,1/26,,0.0150,,,,,,"{""q"": [-0.4381, 0.2434, 0.2157, -2.0464, -0.0588, 2.2696, -0.6144]}"
164,2026-05-14T06:11:49.260,TRAJECTORY_WAYPOINT,EXEC,,,,,7/26,,0.0150,,,,,,"{""q"": [-0.4207, 0.2956, 0.1984, -2.0592, -0.0702, 2.3347, -0.6074]}"
165,2026-05-14T06:11:49.388,TRAJECTORY_WAYPOINT,EXEC,,,,,13/26,,0.0150,,,,,,"{""q"": [-0.4033, 0.3479, 0.1811, -2.0719, -0.0817, 2.3998, -0.6004]}"
166,2026-05-14T06:11:49.517,TRAJECTORY_WAYPOINT,EXEC,,,,,19/26,,0.0150,,,,,,"{""q"": [-0.3859, 0.4001, 0.1638, -2.0847, -0.0932, 2.4649, -0.5934]}"
167,2026-05-14T06:11:49.645,TRAJECTORY_WAYPOINT,EXEC,,,,,25/26,,0.0150,,,,,,"{""q"": [-0.3685, 0.4523, 0.1464, -2.0974, -0.1047, 2.53, -0.5865]}"
168,2026-05-14T06:11:49.666,TRAJECTORY_WAYPOINT,EXEC,,,,,26/26,,0.0150,,,,,,"{""q"": [-0.3656, 0.461, 0.1435, -2.0995, -0.1066, 2.5408, -0.5853]}"
169,2026-05-14T06:11:49.726,TRAJECTORY_EXEC,OK,,,,,26,590,,,,,,,
170,2026-05-14T06:11:49.726,MOVE_POSE,OK,,"place(0.165, -0.125) release",,,,,,,,,,,
171,2026-05-14T06:11:49.727,PLACE,SETTLE_BEFORE_OPEN,cube1,,,,,,,,,,,,"{""steps"": 120}"
172,2026-05-14T06:11:49.962,PLACE,GRIP_OPEN,cube1,,,,,,,,,,,,"{""finger_before"": 0.0301}"
173,2026-05-14T06:11:49.962,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 450}"
174,2026-05-14T06:11:50.841,PLACE,GRIP_OPENED,cube1,,,,,,,,,,,,"{""finger_after"": 0.04}"
175,2026-05-14T06:11:51.151,MOVE_POSE,START,,"place(0.165, -0.125) retreat",,,,,0.0400,"[0.165, -0.125, 1.19]","[""cube1""]",,,,
176,2026-05-14T06:11:51.285,IK_SOLVE,OK,,"place(0.165, -0.125) retreat",,,,,,"[0.165, -0.125, 1.19]",,,,,"{""pos_err"": 0.00796, ""ori_err"": 0.00911, ""iterations"": 437}"
