event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
128,2026-05-14T06:00:34.788,OMPL_PLAN,OK,,pick(cube1) pregrasp,,BITstar,65,454,,,,,,,"{""path_length"": 0.946, ""selected_goal_q"": [-0.6669103331584609, 0.5213700886099137, -0.29947000399271967, -1.6367909743706421, 0.16543820405731538, 2.1466798164756495, -1.612825004777701]}"
129,2026-05-14T06:00:34.788,TRAJECTORY_EXEC,START,,,,,65,,0.0400,,[],,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
130,2026-05-14T06:00:34.788,TRAJECTORY_WAYPOINT,EXEC,,,,,1/65,,0.0400,,,,,,"{""q"": [-0.0752, 0.1494, -0.1449, -2.0272, 0.022, 2.172, -1.1558]}"
131,2026-05-14T06:00:35.101,TRAJECTORY_WAYPOINT,EXEC,,,,,17/65,,0.0400,,,,,,"{""q"": [-0.2231, 0.2424, -0.1835, -1.9296, 0.0579, 2.1656, -1.2701]}"
132,2026-05-14T06:00:35.419,TRAJECTORY_WAYPOINT,EXEC,,,,,33/65,,0.0400,,,,,,"{""q"": [-0.3711, 0.3354, -0.2222, -1.832, 0.0937, 2.1593, -1.3843]}"
133,2026-05-14T06:00:35.755,TRAJECTORY_WAYPOINT,EXEC,,,,,49/65,,0.0400,,,,,,"{""q"": [-0.519, 0.4284, -0.2608, -1.7344, 0.1296, 2.153, -1.4986]}"
134,2026-05-14T06:00:36.052,TRAJECTORY_WAYPOINT,EXEC,,,,,65/65,,0.0400,,,,,,"{""q"": [-0.6669, 0.5214, -0.2995, -1.6368, 0.1654, 2.1467, -1.6128]}"
135,2026-05-14T06:00:36.106,TRAJECTORY_EXEC,OK,,,,,65,1317,,,,,,,
136,2026-05-14T06:00:36.106,MOVE_POSE,OK,,pick(cube1) pregrasp,,,,,,,,,,,
137,2026-05-14T06:00:36.106,MOVE_POSE,START,,pick(cube1) grasp,,,,,0.0400,"[0.02, -0.56, 0.9294]","[""cube1""]",,,,
138,2026-05-14T06:00:36.277,IK_SOLVE,WARN,,pick(cube1) grasp,,,,,,"[0.02, -0.56, 0.9294]",,,,,"{""pos_err"": 0.00942, ""ori_err"": 0.00495, ""iterations"": 600}"
139,2026-05-14T06:00:36.465,IK_ELBOW_UP,FAILED,,pick(cube1) grasp,,,,,,,,,,,"{""pos_err"": 0.03442, ""ori_err"": 0.00784, ""iterations"": 600}"
140,2026-05-14T06:00:36.465,OMPL_PLAN,START,,pick(cube1) grasp,,RRTConnect,,,0.0400,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.6609, 0.5255, -0.2989, -1.6473, 0.1639, 2.1462, -1.6063], ""goal_q"": [-0.8366, 0.8553, -0.1, -1.5865, 0.1103, 2.4389, -1.5247]}"
141,2026-05-14T06:00:36.904,OMPL_PLAN,OK,,pick(cube1) grasp,,BITstar,37,438,,,,,,,"{""path_length"": 0.5273, ""selected_goal_q"": [-0.8366053602543777, 0.8552712033954806, -0.10004100856141687, -1.5865297341592235, 0.11031140341806019, 2.43887059056403, -1.5247379527648286]}"
142,2026-05-14T06:00:36.904,TRAJECTORY_EXEC,START,,,,,37,,0.0400,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
143,2026-05-14T06:00:36.904,TRAJECTORY_WAYPOINT,EXEC,,,,,1/37,,0.0400,,,,,,"{""q"": [-0.6609, 0.5255, -0.2989, -1.6473, 0.1639, 2.1462, -1.6063]}"
144,2026-05-14T06:00:37.070,TRAJECTORY_WAYPOINT,EXEC,,,,,10/37,,0.0400,,,,,,"{""q"": [-0.7048, 0.6079, -0.2492, -1.6321, 0.1505, 2.2194, -1.5859]}"
145,2026-05-14T06:00:37.236,TRAJECTORY_WAYPOINT,EXEC,,,,,19/37,,0.0400,,,,,,"{""q"": [-0.7488, 0.6904, -0.1995, -1.6169, 0.1371, 2.2925, -1.5655]}"
146,2026-05-14T06:00:37.408,TRAJECTORY_WAYPOINT,EXEC,,,,,28/37,,0.0400,,,,,,"{""q"": [-0.7927, 0.7728, -0.1498, -1.6017, 0.1237, 2.3657, -1.5451]}"
147,2026-05-14T06:00:37.586,TRAJECTORY_WAYPOINT,EXEC,,,,,37/37,,0.0400,,,,,,"{""q"": [-0.8366, 0.8553, -0.1, -1.5865, 0.1103, 2.4389, -1.5247]}"
148,2026-05-14T06:00:37.646,TRAJECTORY_EXEC,OK,,,,,37,741,,,,,,,
149,2026-05-14T06:00:37.646,MOVE_POSE,OK,,pick(cube1) grasp,,,,,,,,,,,
150,2026-05-14T06:00:37.646,PICK,GRIP_CLOSE,cube1,close_gripper,,,,,,,,,,,
151,2026-05-14T06:00:37.658,GRIPPER,SET,,,,,,,0.0150,,,,,,"{""steps"": 260}"
152,2026-05-14T06:00:38.304,MOVE_POSE,START,,pick(cube1) lift,,,,,0.0150,"[0.02, -0.56, 1.1294]","[""cube1""]",,,,
153,2026-05-14T06:00:38.490,IK_SOLVE,WARN,,pick(cube1) lift,,,,,,"[0.02, -0.56, 1.1294]",,,,,"{""pos_err"": 0.00838, ""ori_err"": 0.00895, ""iterations"": 600}"
154,2026-05-14T06:00:38.677,IK_ELBOW_UP,FAILED,,pick(cube1) lift,,,,,,,,,,,"{""pos_err"": 0.03439, ""ori_err"": 0.01296, ""iterations"": 600}"
155,2026-05-14T06:00:38.678,OMPL_PLAN,START,,pick(cube1) lift,,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.8366, 0.8649, -0.0996, -1.5912, 0.1102, 2.4381, -1.5248], ""goal_q"": [-0.8852, 0.5388, -0.047, -1.5801, 0.0247, 2.1266, -1.4331]}"
156,2026-05-14T06:00:39.139,OMPL_PLAN,OK,,pick(cube1) lift,,BITstar,33,461,,,,,,,"{""path_length"": 0.4737, ""selected_goal_q"": [-0.8851635958649117, 0.5388197307926702, -0.04701140400502398, -1.5800650392987972, 0.024651850884785, 2.1266265460034703, -1.4330776694653218]}"
157,2026-05-14T06:00:39.140,TRAJECTORY_EXEC,START,,,,,33,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
158,2026-05-14T06:00:39.140,TRAJECTORY_WAYPOINT,EXEC,,,,,1/33,,0.0150,,,,,,"{""q"": [-0.8366, 0.8649, -0.0996, -1.5912, 0.1102, 2.4381, -1.5248]}"
159,2026-05-14T06:00:39.310,TRAJECTORY_WAYPOINT,EXEC,,,,,9/33,,0.0150,,,,,,"{""q"": [-0.8487, 0.7834, -0.0865, -1.5884, 0.0888, 2.3603, -1.5018]}"
160,2026-05-14T06:00:39.480,TRAJECTORY_WAYPOINT,EXEC,,,,,17/33,,0.0150,,,,,,"{""q"": [-0.8609, 0.7019, -0.0733, -1.5856, 0.0674, 2.2824, -1.4789]}"
161,2026-05-14T06:00:39.646,TRAJECTORY_WAYPOINT,EXEC,,,,,25/33,,0.0150,,,,,,"{""q"": [-0.873, 0.6203, -0.0602, -1.5829, 0.046, 2.2045, -1.456]}"
162,2026-05-14T06:00:39.840,TRAJECTORY_WAYPOINT,EXEC,,,,,33/33,,0.0150,,,,,,"{""q"": [-0.8852, 0.5388, -0.047, -1.5801, 0.0247, 2.1266, -1.4331]}"
163,2026-05-14T06:00:39.915,TRAJECTORY_EXEC,OK,,,,,33,774,,,,,,,
164,2026-05-14T06:00:39.915,MOVE_POSE,OK,,pick(cube1) lift,,,,,,,,,,,
165,2026-05-14T06:00:39.915,PICK,OK,cube1,,,,,,,,,,,,
166,2026-05-14T06:00:39.916,PLACE,START,cube1,,,,,,,"[0.275, -0.125, 0.83]",,,,,
167,2026-05-14T06:00:39.916,MOVE_POSE,START,,"place(0.275, -0.125) preplace",,,,,0.0150,"[0.275, -0.125, 1.13]","[""cube1""]",,,,
168,2026-05-14T06:00:40.077,IK_SOLVE,WARN,,"place(0.275, -0.125) preplace",,,,,,"[0.275, -0.125, 1.13]",,,,,"{""pos_err"": 0.01114, ""ori_err"": 0.01024, ""iterations"": 600}"
169,2026-05-14T06:00:40.238,IK_ELBOW_UP,FAILED,,"place(0.275, -0.125) preplace",,,,,,,,,,,"{""pos_err"": 0.02749, ""ori_err"": 0.01464, ""iterations"": 600}"
170,2026-05-14T06:00:40.238,OMPL_PLAN,START,,"place(0.275, -0.125) preplace",,RRTConnect,,,0.0150,,"[""cube1""]",,,,"{""time_limit"": 3.0, ""start_q"": [-0.8838, 0.5546, -0.0483, -1.5842, 0.0261, 2.132, -1.4357], ""goal_q"": [-0.3696, 0.4942, 0.2164, -1.6639, -0.1202, 2.1551, -0.9546]}"
171,2026-05-14T06:00:40.696,OMPL_PLAN,OK,,"place(0.275, -0.125) preplace",,BITstar,53,457,,,,,,,"{""path_length"": 0.7732, ""selected_goal_q"": [-0.3695830698924794, 0.4942200598753977, 0.21644689952638096, -1.66394819796237, -0.12015198223449707, 2.155131853500779, -0.9546265165833041]}"
172,2026-05-14T06:00:40.697,TRAJECTORY_EXEC,START,,,,,53,,0.0150,,"[""cube1""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
173,2026-05-14T06:00:40.697,TRAJECTORY_WAYPOINT,EXEC,,,,,1/53,,0.0150,,,,,,"{""q"": [-0.8838, 0.5546, -0.0483, -1.5842, 0.0261, 2.132, -1.4357]}"
